a;Commune;Population suisse;Population étrangère;Total
5799;Servion;1 858;383;2 241
5621;Aclens;456;153;609
5851;Allaman;295;117;412
5422;Aubonne;2 662;1 234;3 896
5423;Ballens;462;118;580
5424;Berolle;255;45;300
5425;Bière;1 093;608;1 701
5426;Bougy-Villars;352;141;493
5622;Bremblens;522;74;596
5623;Buchillon;523;159;682
5474;La Chaux (Cossonay);364;57;421
5475;Chavannes-le-Veyron;144;16;160
5476;Chevilly;294;51;345
5628;Chigny;325;85;410
5629;Clarmont;178;54;232
5477;Cossonay;3 662;1 312;4 974
5479;Cuarnens;487;70;557
5631;Denens;593;155;748
5632;Denges;1 212;632;1 844
5481;Dizy;209;30;239
5633;Echandens;2 086;1 030;3 116
5634;Echichens;2 576;665;3 241
5482;Eclépens;900;302;1 202
5636;Etoy;2 125;888;3 013
5427;Féchy;636;270;906
5483;Ferreyres;278;30;308
5428;Gimel;1 774;679;2 453
5484;Gollion;899;192;1 091
5485;Grancy;448;93;541
5656;Hautemorges;3 641;785;4 426
5486;L'Isle;937;169;1 106
5637;Lavigny;819;289;1 108
5638;Lonay;2 120;599;2 719
5639;Lully;685;139;824
5640;Lussy-sur-Morges;609;112;721
5488;Mauraz;52;22;74
5490;Moiry;270;25;295
5431;Mollens;260;60;320
5491;Mont-la-Ville;430;74;504
5492;Montricher;774;173;947
5642;Morges;11 076;6 737;17 813
5493;Orny;429;96;525
5497;Pompaples;674;243;917
5643;Préverenges;3 578;1 658;5 236
5645;Romanel-sur-Morges;374;88;462
5435;Saint-Livres;575;133;708
5436;Saint-Oyens;370;79;449
5646;Saint-Prex;3 781;2 141;5 922
5498;La Sarraz;1 848;761;2 609
5437;Saubraz;327;114;441
5499;Senarclens;398;107;505
5649;Tolochenaz;1 307;621;1 928
5650;Vaux-sur-Morges;156;29;185
5652;Villars-sous-Yens;485;118;603
5653;Vufflens-le-Château;710;177;887
5654;Vullierens;460;117;577
5655;Yens;1 152;329;1 481
5701;Arnex-sur-Nyon;201;73;274
5702;Arzier-Le Muids;2 183;816;2 999
5703;Bassins;1 101;367;1 468
5704;Begnins;1 460;587;2 047
5705;Bogis-Bossey;669;292;961
5706;Borex;868;300;1 168
5852;Bursinel;393;142;535
5853;Bursins;620;211;831
5854;Burtigny;329;77;406
5707;Chavannes-de-Bogis;867;556;1 423
5708;Chavannes-des-Bois;665;318;983
5709;Chéserex;980;292;1 272
5710;Coinsins;412;98;510
5711;Commugny;1 866;1 102;2 968
5712;Coppet;2 052;1 181;3 233
5713;Crans;1 713;770;2 483
5714;Crassier;956;316;1 272
5715;Duillier;888;232;1 120
5855;Dully;457;180;637
5856;Essertines-sur-Rolle;574;196;770
5716;Eysins;1 259;552;1 811
5717;Founex;2 271;1 466;3 737
5718;Genolier;1 540;531;2 071
5857;Gilly;1 057;372;1 429
5719;Gingins;964;277;1 241
5720;Givrins;844;252;1 096
5721;Gland;9 126;4 852;13 978
5722;Grens;324;89;413
5429;Longirod;452;106;558
5858;Luins;453;187;640
5430;Marchissy;407;85;492
5723;Mies;1 405;789;2 194
5859;Mont-sur-Rolle;2 028;731;2 759
5724;Nyon;13 996;9 736;23 732
5860;Perroy;1 088;485;1 573
5725;Prangins;2 973;1 270;4 243
5726;La Rippe;936;282;1 218
5861;Rolle;3 878;2 726;6 604
5727;Saint-Cergue;2 079;978;3 057
5434;Saint-George;833;249;1 082
5728;Signy-Avenex;447;139;586
5729;Tannay;1 131;601;1 732
5862;Tartegnin;160;86;246
5730;Trélex;1 114;313;1 427
5731;Le Vaud;1 117;257;1 374
5732;Vich;835;339;1 174
5863;Vinzel;280;105;385
5624;Bussigny;7 165;4 973;12 138
5627;Chavannes-près-Renens;4 600;6 135;10 735
5583;Crissier;6 188;4 928;11 116
5635;Ecublens (VD);7 133;6 625;13 758
5589;Prilly;7 147;5 922;13 069
5591;Renens (VD);10 723;11 104;21 827
5648;Saint-Sulpice (VD);2 819;2 374;5 193
5651;Villars-Sainte-Croix;706;237;943
5892;Blonay - Saint-Légier;9 594;3 003;12 597
5882;Chardonne;2 549;835;3 384
5841;Château-d'Oex;2 574;1 115;3 689
5883;Corseaux;1 701;625;2 326
5884;Corsier-sur-Vevey;2 326;1 132;3 458
5885;Jongny;1 421;496;1 917
5886;Montreux;14 668;12 498;27 166
5842;Rossinière;437;67;504
5843;Rougemont;522;283;805
5889;La Tour-de-Peilz;9 086;3 967;13 053
5890;Vevey;12 190;7 989;20 179
5891;Veytaux;597;411;1 008
