Commune; Adopté en; Valable jusqu'en;Impôt rentrée argent; Impôt spécial affecté; Pour-cent total; Immeubles; Constr. non immatric. registre foncier; Impôt personnel fixe; Ventes, cessions, etc.; Ligne directe ascendante; Ligne directe descendante; Ligne collatérale; Entre non-parents; Impôt compl. s/immeubles soc. et fond.; * Chiens; * Impôt sur les divertissements
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
DISTRICT D'AIGLE;;;;;;;;;;;;;;;;
Chamblon;2025;2026;66; - ;66;1; - ;-;50;40;-;100;100;50;1.0p/Fr;10
Champagne;2025;2026;65; - ;65;1;0.5;-;50;90;90;90;100;50;100;10
Champvent;2025;2026;70; - ;70;1; -   ;0;50;100;100;100;100;30;30; -   
Chavannes-le-Chêne;2025;2027;75; -   ;75;1; - ;10;50;50;50;100;100;50;60; -   
Chavornay;2024;2026;70.5; -   ;70.5;1;0.5; - ;50;100; - ;100;100;50;80; -   
Chêne-Pâquier;2025;2027;75; -   ;75;1; - ; - ;50;100;100;100;100;50;66; -   
Cheseaux-Noréaz;2025;2026;67; -   ;67;1;0.5; - ;50;100;100;100;100;50;20;10
Concise;2025;2026;68; - ;68;1;0.5;-;50;100;100;100;100;50;75; -   
Corcelles-près-Concise;2025;2026;69;-;69;1;0.5; - ;50;40;40;100;100;30;60; -   
Cronay;2025;2026;75; -   ;75;1; - ;10;50;20;20;50;100; - ;100; -   
Croy;2021;2026;74; -   ;74;0.7; - ; - ;50;20;20;100;100;30; 1.0p/Fr ; -   
Cuarny;2025;2027;73; -   ;73;1;0.5;10;50;50;50;100;100;50;50; -   
Démoret;2024;2026;78; - ;78;1; - ;10;50;30;30;100;100;-;100; -   
Donneloye;2025;2026;73; -   ;73;1;0.5; - ;50;30;30;50;100;50;70; -   
Ependes;2025;2026;73.5; -   ;73.5;1; - ;10;50;20;20;100;100;50;40;10
Fiez;2025;2026;69; -   ;69;1.2;0.5;10;50;40;40;70;100;50;70; -   
Fontaines-sur-Grandson;2025;2026;72; -   ;72;1; - ;10;50;50;50;100;100;50;30; -   
Giez;2025;2026;69; - ;69;1;0.5;-;50;40;40;100;100;50;40; -   
Grandevent;2025;2026;71; -   ;71;1; - ; - ;50;30;30;50;75; - ;50;5
Grandson;2025;2026;69; -   ;69;1;0.5;0;50;100;100;100;100;50;100; -   
Juriens;2024;2026;79; - ;79;1; - ; - ;50;100;100;100;100;50;80; -   
La Praz;2021;2026;83; - ;83;1;0.5;-;50;50;50;95;95;-;40; -   
L'Abbaye;2022;2026;76; - ;76;1;0.5;-;50;100;50;70;100;25;100; -   
Les Bioux (fraction) **;2023;2025;3;-;3;;;;;;;;;;;
L'Abergement;2025;2026;80; -   ;80;1.2;0.5;10;50;50;50;100;100; - ;40; -   
Le Chenit;2025;2026;58.5; -   ;58.5;1;0.5; - ;50;100;100;100;100;50; 1.0p/Fr ; -   
Le Brassus (fraction);2024;2026;8;-;8;;;;;;;;;;;
Le Sentier (fraction) **;2023;2025;8;-;8;;;;;;;;;;;
L'Orient (fraction);2021;2026;10;-;10;;;;;;;;;;;
Le Lieu;2022;2026;70; -   ;70;0.8;0.5; - ;50; - ; - ;100;100; - ; 1.0p/Fr ; -   
Les Clées;2024;2027;80; - ;80;0.6;0.5;10;50;-;-;100;100;50;60; -   
Lignerolle;2024;2026;78.5; -   ;78.5;0.7;0.5;10;50; - ; - ;100;100;50; 1.0p/Fr ; -   
Mathod;2025;2026;72; -   ;72;1.2; - ;10;50;100;100;100;100;50;100; -   
Mauborget;2025;2026;70; -   ;70;1.2; -   ;10;50;50;50;100;100;50;50; -   
Molondin;2025;2026;81; -   ;81;1; - ; - ;50;100;100;100;100; - ;45;10
Montagny-près-Yverdon;2025;2026;64.5; - ;64.5;0.8;0.5;-;50;70;-;80;100;50;40; -   
Montcherand;2021;2026;72;-;72;1;0.5; - ;50;-;-;100;100;50;50; -   
Mutrux;2025;2026;80; -   ;80;1;0.5;6;50;50;50;100;100; - ;25; -   
Novalles;2025;2026;76; -   ;76;0.8;0.5; - ;50;40;40;100;100; - ;20; -   
Onnens;2025;2026;65; - ;65;1;0.5;-;50;50;-;50;100;50;60; -   
Orbe;2024;2026;75.5; -   ;75.5;1; - ; - ;50;100; - ;100;100;50;100; -   
Orges;2025;2026;74; - ;74;1;0.5;-;50;-;-;100;100;-;100; -   
Orzens**;2022;2024;79; - ;79;1;0.5;10;50;100;100;100;100;-;0.80p/Fr; - 
Pomy;2022;2026;71; - ;71;1; - ;-;50;100;100;100;100;-;1.0p/Fr; -   
