Code DiDok;Désignation officielle;Désignation organisation commerciale;Moyen de transport;Canton;Commune;Numero Commune;Localité;Swiss Business Organisation ID;Commentaire OFT;Coordonnées E MN95;Coordonnées N MN95;Altitude;Lien sur la carte
8583891;Vufflens-Aclens, zone industr.;Automobiles MBC;BUS;VD;Aclens;5621;Aclens;ch:1:sboid:100566;;2529929.719;1157463.978;406;46.56477268818526, 6.524742392767344
8570093;Aclens, collège;Automobiles MBC;BUS;VD;Aclens;5621;Aclens;ch:1:sboid:100566;;2528825;1157750;450;46.567228572318456, 6.510291141153921
8507650;Agiez, Vers-le-Pont;PostAuto AG;BUS;VD;Agiez;5742;Agiez;ch:1:sboid:100602;;2529106;1174641;507;46.71919129431517, 6.511347735082323
8570235;Agiez, L'Epine;PostAuto AG;BUS;VD;Agiez;5742;Agiez;ch:1:sboid:100602;;2528837;1174270;523;46.71582551025668, 6.507887226046329
8504425;Aigle, Les Iles;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2562250;1127697;386;46.29961661730584, 6.948697073079572
8505193;Aigle, Biole;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2561991;1128843;384;46.309910755987055, 6.945241890286049
8581845;Aigle, collège Planchette;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;(Bus) ohne Fahrplandaten 2016 [beibehalten];2562877;1129904;396;46.31950460015498, 6.956658085456567
8517484;Aigle-Parc Aventure;Transports Publics du Chablais;TRAIN;VD;Aigle;5401;Aigle;ch:1:sboid:100008;;2565151.159;1129423.007;488.1;46.315300001126964, 6.986219994119313
8581047;Aigle, Pautex;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2562697;1129618;393;46.31692190321954, 6.954344102473771
8593763;Aigle, av. Margencel;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2563515;1129751;406;46.318163343780725, 6.964953361332843
8511106;Aigle-Dépôt, gare;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2564331;1129735;428;46.31806335872635, 6.975548588579126
8512177;Aigle, Fontanney;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2565332.576;1129785.534;532.5;46.31857051500889, 6.988548107424288
8593766;Aigle, Dents-du-Midi;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2563046;1129261;396;46.313729866550396, 6.9589034211079
8593765;Aigle, Champex;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2561857;1129051;383;46.31177419397323, 6.943485372920066
8593764;Aigle, ch. des Lieugex;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2563147;1129978;401;46.3201851703714, 6.960157659596822
8517500;Aigle-Place-du-Marché (DIAB);Transports Publics du Chablais;;VD;Aigle;5401;Aigle;ch:1:sboid:100008;(Zug);2563889.627;1129584.956;415.3;46.31668999858064, 6.969829998461089
8501400;Aigle;Schweizerische Bundesbahnen SBB;TRAIN;VD;Aigle;5401;Aigle;ch:1:sboid:100001;;2563416.288;1129606.2;403.908;46.316855418598124, 6.963683211861402
8501468;Aigle-Château;Transports Publics du Chablais;TRAIN;VD;Aigle;5401;Aigle;ch:1:sboid:100008;;2564590;1129601;433;46.31687170607126, 6.97892136108901
8501554;Aigle-Place-du-Marché;Transports Publics du Chablais;TRAIN;VD;Aigle;5401;Aigle;ch:1:sboid:100008;;2563929.275;1129645.86;416.7;46.317239994000715, 6.970339995448264
8509014;Aigle, Pré Neyroud;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2561952;1127942;385;46.3018036496258, 6.944809449285151
8570600;Aigle, gare;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2563487;1129528;406;46.31615583128023, 6.964607382328524
8570601;Aigle, place du Marché;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2563920;1129661;417;46.31737568585273, 6.9702184049401295
8501179;Pont-de-Drapel;Transports Publics du Chablais;TRAIN;VD;Aigle;5401;Aigle;ch:1:sboid:100008;;2565177.197;1129929.778;613.7;46.31985999970431, 6.986520004273106
8501485;Fontanney;Transports Publics du Chablais;TRAIN;VD;Aigle;5401;Aigle;ch:1:sboid:100008;;2564851.175;1129760.473;548.8;46.31831999450118, 6.982299999546069
8504407;Aigle, Grand-Pré;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2561407;1129616;383;46.316830850819, 6.9375968369801955
8504421;Aigle, Levant;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2563107;1129587;399;46.31666574611651, 6.95966940254503
8511997;RBC Chablais;Schweizerische Bundesbahnen SBB;;VD;Aigle;5401;Aigle;ch:1:sboid:100001;;2563339.542;1130262.183;405.9;46.3227520902552, 6.9626350459755155
8593770;Aigle, Pré d'Emoz/écoles;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2562865;1130145;397;46.32167183919654, 6.956483007024112
8593769;Aigle, Novassales;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2563342;1129352;403;46.31456471306193, 6.962738839240221
8593768;Aigle, Vergers;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;bis 2018: Aigle, hôpital;2563407;1129066;401;46.31199556571619, 6.9636052087107245
8581046;Aigle, rte d'Evian;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2563043;1129759;399;46.318209436951534, 6.958824831624484
8581050;Aigle, La Mêlée;PostAuto AG;BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100602;;2561446;1129765;385;46.31817341640464, 6.938090780183085
8511103;Aigle, Valerette;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2563701;1128915;404;46.31065324343813, 6.967433533095001
8519338;Aigle [voie 11-16];Transports Publics du Chablais;;VD;Aigle;5401;Aigle;ch:1:sboid:100008;(Zug);2563448;1129549;404;46.316342609309636, 6.964099417232659
8581048;Aigle, Golf;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2562291;1129451;388;46.315396936375215, 6.949086764936207
8501484;Aigle-Dépôt;Transports Publics du Chablais;TRAIN;VD;Aigle;5401;Aigle;ch:1:sboid:100008;;2564317.394;1129760.275;427.6;46.318289994546745, 6.975370001409716
8596090;Aigle, Les Glariers;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;(neue Hst per 12.2017 aber keine Fahrplandaten);2563730;1130027;412;46.32065776499928, 6.967723103787464
8501471;Plambuit;Transports Publics du Chablais;TRAIN;VD;Aigle;5401;Aigle;ch:1:sboid:100008;;2568066.002;1130746.413;801.4;46.32734999369797, 7.023969993526004
8504408;Aigle, piscine;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2563338;1130162;404;46.32185081398912, 6.962622938313034
8504418;Aigle, La Chapelle;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2563697;1129155;408;46.312811936831636, 6.96736284366535
8517482;En Châlex;Transports Publics du Chablais;;VD;Aigle;5401;Aigle;ch:1:sboid:100008;(Zug);2563820.915;1128156.12;393.4;46.30383325051869, 6.969049275811245
8512152;Aigle, Marjolin;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2563721.495;1128604.496;400.3;46.3078612296431, 6.967723842556987
8504409;Aigle, médiathèque;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2563506;1129892;406;46.319431213187656, 6.964825430504725
8504420;Aigle, Charmettes;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2563427;1128858;399;46.31012560278968, 6.963881219363302
8504422;Aigle, Orlons;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2561437;1128934;383;46.31069768911773, 6.9380429534726
8504424;Aigle, Marais;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2561731;1128118;386;46.30337426435545, 6.941926612804922
8505195;Aigle, Artisans;Transports Publics du Chablais (Bus);BUS;VD;Aigle;5401;Aigle;ch:1:sboid:100617;;2561542;1129384;383;46.31475167092162, 6.939368689797344
8506403;Allaman, Château;Automobiles MBC;BUS;VD;Allaman;5851;Allaman;ch:1:sboid:100566;;2519979.796;1147218.283;412.3;46.47149624448524, 6.396761418716595
8579079;Allaman, gare;PostAuto AG;BUS;VD;Allaman;5851;Allaman;ch:1:sboid:100602;;2520208;1147702;422;46.47587445793586, 6.399648803097864
8506405;Allaman, Grand-Rue;Automobiles MBC;BUS;VD;Allaman;5851;Allaman;ch:1:sboid:100566;;2519948;1147024;400;46.46974489677017, 6.39638113595995
8501035;Allaman;Schweizerische Bundesbahnen SBB;TRAIN;VD;Allaman;5851;Allaman;ch:1:sboid:100001;;2520211.529;1147688.508;421.868;46.47575352079991, 6.399697079747334
8593870;Borex, Le Chanelet;Transports Publics de la Région Nyonnaise;BUS;VD;Arnex-sur-Nyon;5701;Arnex-sur-Nyon;ch:1:sboid:100540;;2503482;1137049;464;46.37785174714398, 6.184110330826253
8579310;Arnex-sur-Nyon;Transports Publics de la Région Nyonnaise;BUS;VD;Arnex-sur-Nyon;5701;Arnex-sur-Nyon;ch:1:sboid:100540;;2504188;1136690;458;46.37472404465474, 6.193359473751702
8579106;Arnex, gare;PostAuto AG;BUS;VD;Arnex-sur-Orbe;5743;Arnex-sur-Orbe;ch:1:sboid:100602;;2529674;1172281;552;46.698023685523275, 6.5191388259570076
8576379;Arnex, poste;PostAuto AG;BUS;VD;Arnex-sur-Orbe;5743;Arnex-sur-Orbe;ch:1:sboid:100602;;2529665;1171927;545;46.69483855259485, 6.519075502111243
8501107;Arnex;Schweizerische Bundesbahnen SBB;TRAIN;VD;Arnex-sur-Orbe;5743;Arnex-sur-Orbe;ch:1:sboid:100001;;2529656.353;1172287.207;552.43;46.6980776528438, 6.51890716328841
8582136;Bassins, gare;PostAuto AG;BUS;VD;Arzier-Le Muids;5702;Arzier-Le Muids;ch:1:sboid:100602;(Bus) ohne Fahrplandaten 12.2016/2018;2506599;1146212;749;46.460710536633194, 6.222769946135759
8510725;Arzier, gare;Nyon-St-Cergue-Morez Ersatzverkehr;BUS;VD;Arzier-Le Muids;5702;Arzier-Le Muids;ch:1:sboid:1100073;;2505684.656;1146019.987;844.5;46.45885520350323, 6.210908344524017
8501065;Le Muids;Nyon-St-Cergue-Morez;TRAIN;VD;Arzier-Le Muids;5702;Arzier-Le Muids;ch:1:sboid:100047;;2506024.078;1145508.235;712.2;46.45429999374498, 6.215429993950875
8501057;La Chèvrerie-Monterêt;Nyon-St-Cergue-Morez;TRAIN;VD;Arzier-Le Muids;5702;Arzier-Le Muids;ch:1:sboid:100047;;2503561.597;1144900.127;972.3;46.44848000803234, 6.1835100034959805
8510732;Le Muids, bif. gare;Nyon-St-Cergue-Morez Ersatzverkehr;BUS;VD;Arzier-Le Muids;5702;Arzier-Le Muids;ch:1:sboid:1100073;;2506274.455;1145558.678;696;46.45478881938066, 6.218678202071574
8501064;Bassins;Nyon-St-Cergue-Morez;TRAIN;VD;Arzier-Le Muids;5702;Arzier-Le Muids;ch:1:sboid:100047;;2506563.428;1146196.927;753.2;46.460569994939625, 6.222309998990778
8501063;Arzier;Nyon-St-Cergue-Morez;TRAIN;VD;Arzier-Le Muids;5702;Arzier-Le Muids;ch:1:sboid:100047;;2505741.251;1145995.174;839;46.45863999465857, 6.211649997069147
8501172;Assens;Lausanne-Echallens-Bercher;TRAIN;VD;Assens;5511;Assens;ch:1:sboid:100036;;2537329.841;1162760.382;622.2;46.613149996036185, 6.620530001497214
8507624;Assens, gare;Transports Publics de la Région Lausannoise sa;BUS;VD;Assens;5511;Assens;ch:1:sboid:100122;;2537353;1162776;624.1;46.61329265676556, 6.620830172592719
8507655;Bioley-Orjulaz, chapelle;PostAuto AG;BUS;VD;Assens;5511;Bioley-Orjulaz;ch:1:sboid:100602;;2535557;1163718;608;46.62159484613944, 6.597254446720099
8501871;Montherod, village;PostAuto AG;BUS;VD;Aubonne;5422;Montherod;ch:1:sboid:100602;;2517674;1150284;591;46.49879181833153, 6.366196726582003
8579082;Montherod, Battoir;PostAuto AG;BUS;VD;Aubonne;5422;Montherod;ch:1:sboid:100602;;2518059;1150264;585;46.49865922549443, 6.371214970736722
8583896;Pizy, village;PostAuto AG;BUS;VD;Aubonne;5422;Pizy;ch:1:sboid:100602;;2516812;1149527;644;46.4918760803042, 6.355105446859123
8570046;Aubonne, hôpital;PostAuto AG;BUS;VD;Aubonne;5422;Aubonne;ch:1:sboid:100602;;2519457;1149580;513;46.49267668076557, 6.389543511907031
8570045;Aubonne, Curzilles;PostAuto AG;BUS;VD;Aubonne;5422;Aubonne;ch:1:sboid:100602;;2518644;1149309;542;46.49014065420075, 6.37900296920259
8579083;Pizy, Le Courtillet;PostAuto AG;BUS;VD;Aubonne;5422;Montherod;ch:1:sboid:100602;;2515569;1150520;674;46.500652028221104, 6.338735716170575
8579081;Aubonne, Le Bornalet;PostAuto AG;BUS;VD;Aubonne;5422;Aubonne;ch:1:sboid:100602;;2519943;1149452;480;46.49158371813273, 6.395895253746815
8579080;Aubonne, Roveray;PostAuto AG;BUS;VD;Aubonne;5422;Aubonne;ch:1:sboid:100602;;2520323;1148299;438;46.48125808090954, 6.401043106552921
8501865;Aubonne, Bougy-St-Martin;PostAuto AG;BUS;VD;Aubonne;5422;Aubonne;ch:1:sboid:100602;;2519116;1149675;534;46.49349001825613, 6.385085774947924
8501862;Signal-de-Bougy, Parc Pré Vert;PostAuto AG;BUS;VD;Aubonne;5422;Bougy-Villars;ch:1:sboid:100602;;2516799;1148781;698;46.48516437712718, 6.355070540523862
8501867;Aubonne, La Praz;PostAuto AG;BUS;VD;Aubonne;5422;Aubonne;ch:1:sboid:100602;;2520204;1149142;457;46.488826526254336, 6.399347958586517
8501870;Aubonne, gare;PostAuto AG;BUS;VD;Aubonne;5422;Aubonne;ch:1:sboid:100602;;2519720;1149706;500;46.49384165966593, 6.392946852330956
8583458;Aubonne, Pré-Baulan;PostAuto AG;BUS;VD;Aubonne;5422;Aubonne;ch:1:sboid:100602;(Bus) ohne Fahrplandaten 12.2018;2517891;1149939;578;46.495715310802204, 6.3690845491940635
8501868;Aubonne, La Levette;PostAuto AG;BUS;VD;Aubonne;5422;Aubonne;ch:1:sboid:100602;;2520285;1148725;450;46.48508534726661, 6.400474786753574
8504781;Avenches, poste;PostAuto AG;BUS;VD;Avenches;5451;Avenches;ch:1:sboid:100602;(Bus) ohne Fahrplandaten 12.2016 [beibehalten];2569587;1192279;469;46.88093123399027, 7.039644445060025
8580759;Avenches, L'Eau-Noire;PostAuto AG;BUS;VD;Avenches;5451;Avenches;ch:1:sboid:100602;;2569974;1194631;434;46.90210546219474, 7.044565965496157
8583514;Avenches, Bibracte;PostAuto AG;BUS;VD;Avenches;5451;Avenches;ch:1:sboid:100602;;2569533;1191808;455;46.87669203340947, 7.038967602272889
8583516;Avenches, Milavy;PostAuto AG;BUS;VD;Avenches;5451;Avenches;ch:1:sboid:100602;;2568987;1191812;443;46.87670269402595, 7.031805029088613
8583894;Avenches, Hôtel de Ville;PostAuto AG;BUS;VD;Avenches;5451;Avenches;ch:1:sboid:100602;;2569651;1192165;479;46.879908719411, 7.040491661515199
8583726;Oleyres, Les Carrières;PostAuto AG;BUS;VD;Avenches;5451;Oleyres;ch:1:sboid:100602;;2569387;1189447;551;46.85544769454535, 7.037211355056684
8577825;Avenches, Faubourg;Service d'automobiles TPF;BUS;VD;Avenches;5451;Avenches;ch:1:sboid:100633;;2569788;1191968;459;46.87814293129093, 7.042301999667975
8504570;Avenches Plage;Lacs de Neuchâtel et Morat;BOAT;VD;Avenches;5451;Avenches;ch:1:sboid:100148;Bedarfshalt;2570285.712;1195028.043;429;46.90569097255497, 7.048630883762216
8504126;Avenches;Schweizerische Bundesbahnen SBB;TRAIN;VD;Avenches;5451;Avenches;ch:1:sboid:100001;;2569686.709;1192686.53;437.75;46.88460159766171, 7.0409253236567135
8583895;Avenches, EMS Marc-Aurèle;PostAuto AG;BUS;VD;Avenches;5451;Avenches;ch:1:sboid:100602;;2569930;1192346;459;46.88154955977959, 7.044139763990888
8583723;Avenches, Le Paon;PostAuto AG;BUS;VD;Avenches;5451;Avenches;ch:1:sboid:100602;;2569119;1191803;445;46.87662790003373, 7.0335371861811655
8579799;Avenches, Collège Sous-Ville;PostAuto AG;BUS;VD;Avenches;5451;Avenches;ch:1:sboid:100602;;2569399;1192116;455;46.87945637030937, 7.037189084661411
8583520;Avenches, route du Lac;PostAuto AG;BUS;VD;Avenches;5451;Avenches;ch:1:sboid:100602;;2570575;1193829;435;46.89491832506502, 7.052505446485615
8583515;Avenches, plage;PostAuto AG;BUS;VD;Avenches;5451;Avenches;ch:1:sboid:100602;;2570225;1194523;434;46.90114531575748, 7.0478671669097395
8583519;Avenches, Pré-Vert;PostAuto AG;BUS;VD;Avenches;5451;Avenches;ch:1:sboid:100602;;2570085;1192826;441;46.885874249733945, 7.046141603097115
8583517;Avenches, Joli-Val;PostAuto AG;BUS;VD;Avenches;5451;Avenches;ch:1:sboid:100602;;2569782;1191743;462;46.87611874572066, 7.042238249518947
8510877;Avenches, Bois de Châtel;PostAuto AG;BUS;VD;Avenches;5451;Avenches;ch:1:sboid:100602;;2569854;1190789;518;46.86754062953069, 7.043245980643021
8504886;Donatyre, village;Service d'automobiles TPF;BUS;VD;Avenches;5451;Donatyre;ch:1:sboid:100633;;2570998.717;1191663.218;505.1;46.87545544947485, 7.058203800744052
8583518;Avenches, Montmezard;PostAuto AG;BUS;VD;Avenches;5451;Avenches;ch:1:sboid:100602;;2569531;1192050;469;46.87886877066017, 7.038925144185087
8570514;Avenches, gare;PostAuto AG;BUS;VD;Avenches;5451;Avenches;ch:1:sboid:100602;;2569711;1192691;438;46.88464291658027, 7.041243716437001
8570515;Avenches, Haras Fédéral;PostAuto AG;BUS;VD;Avenches;5451;Avenches;ch:1:sboid:100602;;2568101;1192865;435;46.88613254053382, 7.02010879194588
8583521;Oleyres, collège;PostAuto AG;BUS;VD;Avenches;5451;Oleyres;ch:1:sboid:100602;;2569516;1189199;550;46.853222829274074, 7.038919497690416
8596073;Donatyre, école;Service d'automobiles TPF;BUS;VD;Avenches;5451;Donatyre;ch:1:sboid:100633;bis 2018: Donatyre, croisée;2571028.063;1191856.948;506.1;46.877199368902204, 7.058576401856821
8579907;Ballaigues, cure;Transports Vallée de Joux-Yverdon-Ste-Croix;BUS;VD;Ballaigues;5744;Ballaigues;ch:1:sboid:100694;;2521428.882;1175837.161;870;46.72908859384227, 6.41073719984595
8579095;Ballaigues, poste;Transports Vallée de Joux-Yverdon-Ste-Croix;BUS;VD;Ballaigues;5744;Ballaigues;ch:1:sboid:100694;;2521664;1175838.001;865;46.72912385842083, 6.413812614743324
8579096;Ballaigues, Jura-Rosaly;Transports Vallée de Joux-Yverdon-Ste-Croix;BUS;VD;Ballaigues;5744;Ballaigues;ch:1:sboid:100694;;2522804.84;1176242.995;830;46.73289994623634, 6.428667573016799
8579094;Ballaigues, Vers-chez-Barrat;Transports Vallée de Joux-Yverdon-Ste-Croix;BUS;VD;Ballaigues;5744;Ballaigues;ch:1:sboid:100694;;2521167;1175799.001;869;46.72871439138754, 6.407318121946539
8579908;Ballaigues, collège;Transports Vallée de Joux-Yverdon-Ste-Croix;BUS;VD;Ballaigues;5744;Ballaigues;ch:1:sboid:100694;;2521769;1175971.001;880;46.73033250043713, 6.415163378827366
8579906;Ballaigues, Maillefer;Transports Vallée de Joux-Yverdon-Ste-Croix;BUS;VD;Ballaigues;5744;Ballaigues;ch:1:sboid:100694;;2521979.302;1175863.507;863;46.72939031007999, 6.417932705333199
8501095;Ballens;Transports de la région Morges-Bière-Cossonay;TRAIN;VD;Ballens;5423;Ballens;ch:1:sboid:100012;;2518389.035;1156218.616;710.3;46.552259998028006, 6.374459998099317
8510991;Ballens, bif. Froideville;Automobiles MBC;BUS;VD;Ballens;5423;Ballens;ch:1:sboid:100566;;2519293.481;1156236.417;686;46.552530031272745, 6.386249125276141
8510990;Ballens, village;Automobiles MBC;BUS;VD;Ballens;5423;Ballens;ch:1:sboid:100566;;2518482.569;1156441.729;706;46.55427826886924, 6.375640021798666
8501085;Ballens-Froideville;Transports de la région Morges-Bière-Cossonay;TRAIN;VD;Ballens;5423;Ballens;ch:1:sboid:100012;;2519594.481;1155913.303;680;46.5496599962626, 6.390230001204272
8582137;Bassins, Piscine;PostAuto AG;BUS;VD;Bassins;5703;Bassins;ch:1:sboid:100602;;2507383;1146894;768;46.466953816553136, 6.232837613663515
8570015;Bassins, La Cézille;PostAuto AG;BUS;VD;Bassins;5703;Bassins;ch:1:sboid:100602;;2507341;1144605;559;46.446359457315204, 6.232749573377579
8501850;Bassins, Tillette;PostAuto AG;BUS;VD;Bassins;5703;Bassins;ch:1:sboid:100602;;2507311;1146471;746;46.463139147546435, 6.231985192386081
8579110;Baulmes, gare;Transports Vallée de Joux-Yverdon-Ste-Croix;BUS;VD;Baulmes;5745;Baulmes;ch:1:sboid:100694;;2530166.091;1182364.747;631;46.78877703938734, 6.524032723665713
8504296;Six-Fontaines;Transports Vallée de Joux-Yverdon-Ste-Croix;TRAIN;VD;Baulmes;5745;Baulmes;ch:1:sboid:100074;;2528217.744;1180769.906;705.1;46.77422433176137, 6.498768601780947
8584515;Baulmes, Cul de Villars;Transports Vallée de Joux-Yverdon-Ste-Croix;BUS;VD;Baulmes;5745;Baulmes;ch:1:sboid:100694;;2528777;1180417;630;46.77111015189566, 6.5061454307876465
8579109;Baulmes, poste;Transports Vallée de Joux-Yverdon-Ste-Croix;BUS;VD;Baulmes;5745;Baulmes;ch:1:sboid:100694;;2530035;1182479.001;645;46.789790942175074, 6.522298501363579
8504297;Trois-Villes;Transports Vallée de Joux-Yverdon-Ste-Croix;;VD;Baulmes;5745;Baulmes;ch:1:sboid:100074;;2530841.999;1183706.323;906.5;46.80091487296346, 6.532680954395865
8504295;Baulmes;Transports Vallée de Joux-Yverdon-Ste-Croix;TRAIN;VD;Baulmes;5745;Baulmes;ch:1:sboid:100074;;2530185.07;1182361.375;631.2;46.788748694963836, 6.52428177918298
8511343;Bavois, gare;SBB Infrastruktur AG Bahnersatz;BUS;VD;Bavois;5746;Bavois;ch:1:sboid:1100021;;2532903.508;1171010.656;442;46.68693026104728, 6.561546369973865
8501113;Bavois;Schweizerische Bundesbahnen SBB;TRAIN;VD;Bavois;5746;Bavois;ch:1:sboid:100001;;2532735.272;1171095.884;441.6;46.68767991038704, 6.559334852363642
8581113;Begnins, Grange-Grèche;PostAuto AG;BUS;VD;Begnins;5704;Begnins;ch:1:sboid:100602;;2508971;1145333;682;46.453131232885326, 6.253816344009105
8570026;Begnins, La Chataigneraie;PostAuto AG;BUS;VD;Begnins;5704;Begnins;ch:1:sboid:100602;;2508304;1144403;597;46.444675197863326, 6.245320439685961
8570025;Begnins, Bellevue;PostAuto AG;BUS;VD;Begnins;5704;Begnins;ch:1:sboid:100602;;2508373;1144207;571;46.44292171004487, 6.246257079312485
8570027;Begnins, Bois-du-Four;PostAuto AG;BUS;VD;Begnins;5704;Begnins;ch:1:sboid:100602;;2508428;1144853;650;46.4487397401577, 6.246844828844126
8570014;Begnins, scierie;PostAuto AG;BUS;VD;Begnins;5704;Begnins;ch:1:sboid:100602;;2507825;1144286;522;46.44355702935328, 6.239111071012621
8501851;Begnins, poste;PostAuto AG;BUS;VD;Begnins;5704;Begnins;ch:1:sboid:100602;;2508480;1143905;538;46.44021998560908, 6.24770904548224
8570028;Begnins, Les Clavières;PostAuto AG;BUS;VD;Begnins;5704;Begnins;ch:1:sboid:100602;;2509223;1145873;707;46.45802255312831, 6.256989847662134
8570013;Begnins, Charbonnier;PostAuto AG;BUS;VD;Begnins;5704;Begnins;ch:1:sboid:100602;;2508629;1143591;507;46.43741604233817, 6.249709663550235
8593801;Belmont-sur-L., Cochène;Transports Publics de la Région Lausannoise sa;BUS;VD;Belmont-sur-Lausanne;5581;Belmont-sur-Lausanne;ch:1:sboid:100122;arrêt taxibus TL 10.952;2541690;1151962;545;46.516412398287564, 6.678812437545404
8593795;Belmont-sur-L., Chaffeises;Transports Publics de la Région Lausannoise sa;BUS;VD;Belmont-sur-Lausanne;5581;Belmont-sur-Lausanne;ch:1:sboid:100122;;2541288;1151711;447;46.5141194001315, 6.67360632950752
8593805;Belmont-sur-L., Rueyres;Transports Publics de la Région Lausannoise sa;BUS;VD;Belmont-sur-Lausanne;5581;Belmont-sur-Lausanne;ch:1:sboid:100122;arrêt taxibus TL 10.952;2541558;1151825;509;46.51516852438834, 6.6771098372883815
8593794;Belmont-sur-L., Signal;Transports Publics de la Région Lausannoise sa;BUS;VD;Belmont-sur-Lausanne;5581;Belmont-sur-Lausanne;ch:1:sboid:100122;arrêt taxibus TL 10.952;2542427;1153066;766;46.52640700736734, 6.688277715070415
8593793;Belmont-sur-L., Crau-au-Fer;Transports Publics de la Région Lausannoise sa;BUS;VD;Belmont-sur-Lausanne;5581;Belmont-sur-Lausanne;ch:1:sboid:100122;arrêt taxibus TL 10.952;2542449;1152851;723;46.52447493884856, 6.688591268684656
8593803;Belmont-sur-L., Pertuis;Transports Publics de la Région Lausannoise sa;BUS;VD;Belmont-sur-Lausanne;5581;Belmont-sur-Lausanne;ch:1:sboid:100122;arrêt taxibus TL 10.952;2542649;1152890;754;46.52484295419422, 6.691192811711163
8593807;Belmont-sur-L., Bas-Monts;Transports Publics de la Région Lausannoise sa;BUS;VD;Belmont-sur-Lausanne;5581;Belmont-sur-Lausanne;ch:1:sboid:100122;arrêt taxibus TL 10.952;2542935;1153741;790;46.53252235706733, 6.694814629754814
8593806;Belmont-sur-L., Rouvène;Transports Publics de la Région Lausannoise sa;BUS;VD;Belmont-sur-Lausanne;5581;Belmont-sur-Lausanne;ch:1:sboid:100122;;2541386;1152519;560;46.52139610460443, 6.674780515652149
8593808;Belmont-sur-L., Chatruffe;Transports Publics de la Région Lausannoise sa;BUS;VD;Belmont-sur-Lausanne;5581;Belmont-sur-Lausanne;ch:1:sboid:100122;arrêt taxibus TL 10.952;2542004;1152579;679;46.52198975890962, 6.682826261735864
8512167;Belmont-sur-L., Coin d'En Haut;Transports Publics de la Région Lausannoise sa;BUS;VD;Belmont-sur-Lausanne;5581;Belmont-sur-Lausanne;ch:1:sboid:100122;;2541787.662;1152343.199;635.9;46.51984987203864, 6.680036858199885
8593790;Belmont-sur-L., Champ-Chamot;Transports Publics de la Région Lausannoise sa;BUS;VD;Belmont-sur-Lausanne;5581;Belmont-sur-Lausanne;ch:1:sboid:100122;arrêt taxibus TL 10.952;2542206;1152652;691;46.522663915576, 6.685449447098423
8595190;Belmont-sur-L., Malavaux;Transports Publics de la Région Lausannoise sa;BUS;VD;Belmont-sur-Lausanne;5581;Belmont-sur-Lausanne;ch:1:sboid:100122;;2541506;1152430;588;46.52060605340599, 6.676355551149121
