Code DiDok;Désignation officielle;Désignation organisation commerciale;Moyen de transport;Canton;Commune;Numero Commune;Localité;Swiss Business Organisation ID;Commentaire OFT;Coordonnées E MN95;Coordonnées N MN95;Altitude;Lien sur la carte
8592274;Morges, Auguste-Forel (Lavaux);Automobiles MBC;BUS;VD;Morges;5642;Morges;ch:1:sboid:100566;;2528237;1152234;383;46.51754948514467, 6.503481448131589
8570081;Morges, Vogéaz;Automobiles MBC;BUS;VD;Morges;5642;Morges;ch:1:sboid:100566;;2526611;1151500;402;46.51077059322458, 6.4824115472879695
8570070;Morges, Marcelin;Automobiles MBC;BUS;VD;Morges;5642;Morges;ch:1:sboid:100566;;2527082;1152278;428;46.51782021629852, 6.488424908617395
8570090;Morges, Les Pétoleyres;Automobiles MBC;BUS;VD;Morges;5642;Morges;ch:1:sboid:100566;;2528308.128;1152517.934;396.4;46.52011109854683, 6.504364107572843
8592268;Morges, Grosse-Pierre;Automobiles MBC;BUS;VD;Morges;5642;Morges;ch:1:sboid:100566;;2528054;1152260;380;46.51776367446056, 6.501092908575685
8592273;Morges, Eglantine;Automobiles MBC;BUS;VD;Morges;5642;Morges;ch:1:sboid:100566;;2526774;1151568;411;46.511400129586775, 6.484524368336861
8501037;Morges;Schweizerische Bundesbahnen SBB;TRAIN;VD;Morges;5642;Morges;ch:1:sboid:100001;;2527498.454;1151525.985;381.55;46.51110119786621, 6.493969500635285
8501228;Morges (lac);CGN SA;BOAT;VD;Morges;5642;Morges;ch:1:sboid:100143;;2527990.982;1151220.886;373;46.508410099707376, 6.500433981109736
8501054;La Gottaz;Transports de la région Morges-Bière-Cossonay;TRAIN;VD;Morges;5642;Morges;ch:1:sboid:100012;;2526762.492;1151028.933;397;46.506549994582265, 6.484459999756998
8570069;Morges, La Tour;Automobiles MBC;BUS;VD;Morges;5642;Morges;ch:1:sboid:100566;;2527306.119;1151834.788;397.6;46.513857965918746, 6.491415028587926
8582065;Morrens VD, village;Transports Publics de la Région Lausannoise sa;BUS;VD;Morrens (VD);5527;Morrens VD;ch:1:sboid:100122;;2537817;1160152;696;46.58973300816215, 6.6272417986603065
8592166;Moudon, Verger;PostAuto AG;BUS;VD;Moudon;5678;Moudon;ch:1:sboid:100602;;2551020;1168574;512;46.66659097508905, 6.798614500580594
8592165;Moudon, Sorbiers;PostAuto AG;BUS;VD;Moudon;5678;Moudon;ch:1:sboid:100602;;2550763;1168088;525;46.6622003547425, 6.795308610026639
8504120;Moudon;Schweizerische Bundesbahnen SBB;TRAIN;VD;Moudon;5678;Moudon;ch:1:sboid:100001;;2551319.277;1168734.577;509.9;46.66805734102318, 6.802507939012097
8570341;Moudon, Le Vallon;PostAuto AG;BUS;VD;Moudon;5678;Moudon;ch:1:sboid:100602;;2550418;1168799;532;46.66857035253092, 6.790724176342124
8570338;Moudon, L'Ochette;PostAuto AG;BUS;VD;Moudon;5678;Moudon;ch:1:sboid:100602;;2551223;1169025;517;46.670662712573254, 6.801219007412032
8570339;Moudon, La Prairie;PostAuto AG;BUS;VD;Moudon;5678;Moudon;ch:1:sboid:100602;;2551335;1169281;531;46.672973679637806, 6.802655383482721
8570340;Moudon, av. de Bussy;PostAuto AG;BUS;VD;Moudon;5678;Moudon;ch:1:sboid:100602;;2551094;1169170;536;46.671957556884635, 6.7995178399233795
8570393;Moudon, gare;PostAuto AG;BUS;VD;Moudon;5678;Moudon;ch:1:sboid:100602;;2551294;1168719;511;46.667915374553424, 6.802179304203142
8579243;Bressonnaz, village;PostAuto AG;BUS;VD;Moudon;5678;Moudon;ch:1:sboid:100602;;2550259;1166935;533;46.651791434631456, 6.788848699558008
8581513;Moudon, Chalet-Blanc;PostAuto AG;BUS;VD;Moudon;5678;Moudon;ch:1:sboid:100602;;2550959;1169256;549;46.672721216829366, 6.797744494441432
8570356;Moudon, Grange-Verney;PostAuto AG;BUS;VD;Moudon;5678;Moudon;ch:1:sboid:100602;;2551464;1169764;564;46.67732777927516, 6.804290009748281
8504019;Bressonnaz;Schweizerische Bundesbahnen SBB;;VD;Moudon;5678;Moudon;ch:1:sboid:100001;;2550445.066;1167084.669;533.213;46.65315160510324, 6.791263084994819
8570342;Moudon, Belflori;PostAuto AG;BUS;VD;Moudon;5678;Moudon;ch:1:sboid:100602;;2550176;1168297;566;46.6640367029218, 6.787616532498464
8507691;Mutrux, anc. poste;PostAuto AG;BUS;VD;Mutrux;5563;Mutrux;ch:1:sboid:100602;;2545777;1192590;749;46.8822095034991, 6.7272565799998905
8570284;Mutrux, Le Ravin (Sylvabella);PostAuto AG;BUS;VD;Mutrux;5563;Mutrux;ch:1:sboid:100602;;2545508;1193056;756;46.88637908646437, 6.723671815304675
8507694;Novalles, collège;PostAuto AG;BUS;VD;Novalles;5564;Novalles;ch:1:sboid:100602;;2535704;1186718;571;46.82849254510777, 6.595942470911889
8570582;Noville, Pré des Fourches;PostAuto AG;BUS;VD;Noville;5408;Noville;ch:1:sboid:100602;;2560160;1137274;375;46.38564486685372, 6.9207497586507385
8570588;Noville, Crebelley;PostAuto AG;BUS;VD;Noville;5408;Noville;ch:1:sboid:100602;;2558671;1134929;379;46.36446032392395, 6.901603552085638
8557105;Noville, Collège;PostAuto AG;BUS;VD;Noville;5408;Noville;ch:1:sboid:100602;;2558615;1136588;380;46.379380258355134, 6.900727732956423
8580445;Noville, Chotron;PostAuto AG;BUS;VD;Noville;5408;Noville;ch:1:sboid:100602;;2558700;1135187;379;46.36678293067303, 6.901957384105634
8502637;Noville, La Mouniaz;Transports publics Vevey-Montreux-Chillon-Villeneuve;BUS;VD;Noville;5408;Noville;ch:1:sboid:100675;;2560193.138;1137739.034;373;46.3898300196923, 6.921140543139381
8502636;Noville, Les Saviez;Transports publics Vevey-Montreux-Chillon-Villeneuve;BUS;VD;Noville;5408;Noville;ch:1:sboid:100675;;2560231.085;1138027.147;374;46.39242397366317, 6.9216091026272535
8501069;L'Asse;Nyon-St-Cergue-Morez;TRAIN;VD;Nyon;5724;Nyon;ch:1:sboid:100047;;2505657.19;1139674.155;474.1;46.401773580174975, 6.21184431876294
8579306;Nyon, hôpital;Transports Publics de la Région Nyonnaise;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100540;;2506696;1137554;415;46.38284925169411, 6.225777232057655
8510730;Nyon, La Vuarpillière;Nyon-St-Cergue-Morez Ersatzverkehr;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:1100073;;2506182.4;1139516.65;464;46.400430667318304, 6.218704732180522
8588659;Nyon, route de Genève;Transports Publics de la Région Nyonnaise;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100540;;2507026;1136288;393;46.37150800852563, 6.2303200532597325
8588660;Nyon, Colovray;Transports Publics de la Région Nyonnaise;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100540;;2506836.325;1136130.854;390.2;46.37006821061667, 6.227886917555773
8579307;Nyon, La Suettaz;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;(Bus) fermé le 13.12.2014, réouverture possible;2506455;1137766;421;46.38472249087919, 6.222602184143813
8593897;Nyon, rte de l'Etraz;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2507703;1138182;403;46.388637329124194, 6.238740219636583
8593891;Nyon, Marens;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2506860.668;1138028.069;419.3;46.38713621003085, 6.227822190329808
8593890;Nyon, Mafroi;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2507860.704;1137758.148;398.6;46.384846670384874, 6.240874370427912
8593895;Nyon, route du Boiron;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2505858;1137265;418;46.38013260466308, 6.214944444568588
8593892;Nyon, Petit Perdtemps;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2507746.396;1137593.462;398.7;46.38334965249889, 6.239421415487556
8593877;Nyon, Champ-Colin;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;(Bus) L'arrêt pourrait être ouvert plus tard;2505928;1137488;426;46.38214821861178, 6.21580894613448
8593881;Nyon, chemin des Plantaz;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2507333;1138528;420;46.391698371474874, 6.233861638960194
8593893;Nyon, route de Divonne;Transports Publics de la Région Nyonnaise;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100540;;2506492;1137656;419;46.3837382553574, 6.2231052745616955
8593899;Nyon, rue St-Jean;Transports Publics de la Région Nyonnaise;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100540;;2507799.305;1137635.785;397.4;46.38373761557723, 6.240100663532986
8593885;Nyon, La Levratte;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2506940;1138206;415;46.38874764179643, 6.228817626924099
8593884;Nyon, chemin du Reposoir;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2506965;1138543;424;46.39178228159325, 6.229074949006334
8593873;Nyon, Bel Automne;Bus Nyon-Prangins;BUS;VD;Nyon;5724;Nyon;ch:1:sboid:100543;;2507167;1138614;425;46.392448920011105, 6.231686558027891
