Commune;Total logements vacants;;;;;;;Logements vacants à vendre;;;;;;;Maisons individuelles vacantes;;;;;;;Logements vacants récents;;;;;;;#VALEUR!
Bursinel;6;-;1;4;1;-;-;3;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Bursins;3;-;-;-;2;1;-;3;-;-;-;2;1;-;2;-;-;-;1;1;-;1;-;-;-;1;-;-;
Burtigny;2;-;-;-;-;-;2;2;-;-;-;-;-;2;2;-;-;-;-;-;2;-;-;-;-;-;-;-;
Bussigny;17;4;5;7;1;-;-;2;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Bussy-sur-Moudon;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Chamblon;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Champagne;11;-;1;4;2;-;4;6;-;-;2;2;-;2;3;-;-;-;-;-;3;3;-;-;3;-;-;-;
Champtauroz;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Champvent;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Chardonne;35;-;2;11;7;9;6;19;-;2;5;5;4;3;13;-;-;2;4;2;5;2;-;-;-;-;2;-;
Château-d'Oex;36;1;2;6;12;6;9;34;-;2;6;11;6;9;11;-;-;-;2;1;8;-;-;-;-;-;-;-;
Chavannes-de-Bogis;5;-;-;-;2;1;2;4;-;-;-;1;1;2;3;-;-;-;-;1;2;-;-;-;-;-;-;-;
Chavannes-des-Bois;1;-;-;-;-;-;1;1;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;
Chavannes-le-Chêne;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Chavannes-le-Veyron;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Chavannes-près-Renens;7;4;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Chavannes-sur-Moudon;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Chavornay;7;-;3;3;-;-;1;1;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;
Chêne-Pâquier;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Cheseaux-Noréaz;2;-;-;-;2;-;-;2;-;-;-;2;-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;
Cheseaux-sur-Lausanne;8;-;-;2;4;1;1;-;-;-;-;-;-;-;2;-;-;-;1;-;1;1;-;-;-;1;-;-;
Chéserex;5;-;-;-;2;2;1;3;-;-;-;-;2;1;2;-;-;-;-;1;1;1;-;-;-;1;-;-;
Chessel;6;-;2;1;2;1;-;2;-;-;1;-;1;-;2;-;1;-;-;1;-;-;-;-;-;-;-;-;
Chevilly;8;-;3;4;-;1;-;4;-;1;3;-;-;-;-;-;-;-;-;-;-;5;-;2;3;-;-;-;
Chevroux;5;-;2;1;1;1;-;1;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;
Chexbres;8;3;2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Chigny;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Clarmont;7;1;1;3;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
Coinsins;1;-;-;-;1;-;-;1;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;
Commugny;98;11;16;9;11;16;35;-;-;-;-;-;-;-;71;6;8;4;5;13;35;-;-;-;-;-;-;-;
